iter	Passed	Remaining
408	4462	8631
409	4472	8617
410	4484	8609
411	4495	8597
412	4505	8586
413	4515	8573
414	4525	8559
415	4537	8550
416	4546	8536
417	4557	8526
418	4568	8515
419	4578	8502
420	4589	8491
421	4600	8481
422	4610	8468
423	4619	8454
424	4629	8442
425	4640	8430
426	4650	8418
427	4661	8408
428	4671	8396
429	4684	8387
430	4693	8374
431	4702	8359
432	4712	8347
433	4721	8333
434	4732	8323
435	4744	8314
436	4757	8306
437	4767	8294
438	4777	8282
439	4786	8268
440	4796	8255
441	4805	8240
442	4814	8226
443	4824	8213
444	4833	8199
445	4842	8187
446	4852	8175
447	4862	8162
448	4871	8148
449	4881	8136
450	4892	8125
451	4902	8113
452	4912	8100
453	4921	8087
454	4931	8074
455	4941	8062
456	4951	8049
457	4961	8038
458	4971	8025
459	4980	8012
460	4990	7999
461	5000	7987
462	5009	7974
463	5019	7961
464	5028	7948
465	5038	7936
466	5047	7923
467	5057	7910
468	5066	7897
469	5077	7886
470	5087	7874
471	5097	7861
472	5106	7848
473	5116	7835
474	5126	7824
475	5135	7811
476	5145	7798
477	5155	7786
478	5164	7773
479	5174	7762
480	5184	7749
481	5194	7737
482	5203	7724
483	5213	7713
484	5224	7701
485	5234	7689
486	5244	7678
487	5254	7666
488	5264	7654
489	5274	7642
490	5284	7630
491	5293	7617
492	5303	7605
493	5313	7594
494	5324	7582
495	5333	7570
496	5342	7557
497	5352	7545
498	5362	7533
499	5372	7521
500	5382	7510
501	5392	7497
502	5401	7485
503	5411	7472
504	5421	7461
505	5430	7448
506	5439	7435
507	5450	7424
508	5459	7412
509	5470	7401
510	5480	7389
511	5490	7377
512	5499	7365
513	5509	7352
514	5518	7340
515	5528	7328
516	5537	7316
517	5547	7303
518	5556	7291
519	5567	7280
520	5577	7268
521	5586	7256
522	5596	7244
523	5606	7232
524	5616	7221
525	5626	7209
526	5635	7196
527	5645	7184
528	5654	7172
529	5664	7160
530	5674	7148
531	5685	7139
532	5695	7127
533	5704	7115
534	5715	7103
535	5724	7091
536	5734	7079
537	5743	7067
538	5752	7054
539	5762	7042
540	5771	7030
541	5781	7019
542	5791	7007
543	5796	6990
544	5806	6978
545	5816	6966
546	5825	6954
547	5834	6942
548	5844	6930
549	5854	6918
550	5863	6906
551	5873	6895
552	5884	6884
