iter	RMSE
279	17097.35974
280	17067.12707
281	17045.1112
282	17017.23461
283	16995.20554
284	16972.27486
285	16939.59797
286	16895.08038
287	16866.14077
288	16824.96505
289	16787.90979
290	16762.4858
291	16736.5915
292	16710.39095
293	16683.47358
294	16654.43546
295	16617.15711
296	16609.22524
297	16589.43008
298	16561.45491
299	16543.50355
300	16519.00838
301	16496.64389
302	16458.31666
303	16430.38189
304	16405.21124
305	16371.01748
306	16343.93897
307	16320.18707
308	16286.58006
309	16268.95086
310	16249.46245
311	16226.55106
312	16196.59577
313	16172.89185
314	16156.53842
315	16121.17667
316	16093.41087
317	16068.00615
318	16046.27528
319	16030.3714
320	16012.67401
321	15992.27871
322	15965.51199
323	15932.92144
324	15909.09447
325	15896.77992
326	15862.63921
327	15846.65362
328	15816.17187
329	15789.47509
330	15758.42807
331	15739.25366
332	15711.93886
333	15699.65112
334	15667.86368
335	15634.27417
336	15611.31867
337	15587.89605
338	15564.33329
339	15535.03126
340	15525.90676
341	15503.51904
342	15485.91206
343	15472.71533
344	15445.46203
345	15411.72989
346	15384.33251
347	15360.88686
348	15340.27637
349	15319.40725
350	15295.58611
351	15277.60855
352	15258.90319
353	15251.89744
354	15243.62713
355	15229.35872
356	15208.24391
357	15192.3825
358	15167.02655
359	15155.53389
360	15128.03338
361	15115.44646
362	15104.21714
363	15088.37051
364	15070.86727
365	15054.78006
366	15027.21359
367	14998.96323
368	14976.88808
369	14961.31965
370	14946.82388
371	14935.81612
372	14913.64092
373	14890.50663
374	14880.05298
375	14865.8583
376	14840.80513
377	14823.58552
378	14796.1784
379	14774.52266
380	14743.35997
381	14737.83516
382	14728.55986
383	14700.5697
384	14681.57572
385	14652.70251
386	14624.47258
387	14611.70693
388	14601.07294
389	14587.38142
390	14569.27844
391	14558.63286
392	14544.29512
393	14516.70547
394	14509.41505
395	14492.09689
396	14482.89181
397	14473.20269
398	14449.6231
399	14421.51015
400	14400.47958
401	14387.30215
402	14362.86305
403	14343.67446
404	14328.27809
405	14314.92059
406	14302.21347
407	14286.77021
408	14258.24334
409	14241.38374
410	14223.81834
411	14216.00909
412	14205.49064
413	14187.38732
414	14170.14137
415	14159.0664
416	14140.03511
417	14127.75772
418	14108.67486
419	14100.04624
420	14083.70943
421	14065.15946
422	14051.48271
423	14033.40861
424	14017.94389
425	14006.03113
426	13985.58563
427	13969.20753
428	13946.84803
429	13931.61299
430	13917.29992
431	13907.62256
432	13900.127
433	13894.39821
434	13879.89715
435	13859.6813
436	13848.66438
437	13841.74791
438	13826.93048
439	13807.14136
440	13788.54947
441	13782.89085
442	13779.69094
443	13765.72425
444	13747.85649
445	13739.35524
446	13711.72869
447	13684.8799
448	13667.78664
449	13643.01957
450	13623.48122
451	13605.57523
452	13588.36004
453	13574.62358
454	13557.73409
455	13552.52402
456	13527.38708
457	13508.42268
458	13496.16449
459	13492.68556
460	13474.77934
461	13454.54565
462	13446.30272
463	13418.01936
464	13406.67839
465	13399.07714
466	13387.05082
467	13364.64997
468	13355.64626
469	13339.45636
470	13314.14948
471	13290.72588
472	13283.95379
473	13279.31221
474	13262.5725
475	13255.4545
476	13235.1766
477	13221.44917
478	13216.41299
479	13198.14588
480	13187.30123
481	13173.91322
482	13158.10741
483	13140.83766
484	13127.29973
485	13116.95719
486	13100.04266
487	13097.09239
488	13076.77757
489	13055.92125
490	13043.13726
491	13025.52671
492	13008.25843
493	13004.58719
494	13002.67816
495	12999.28428
496	12982.73452
497	12960.45523
498	12949.58294
499	12936.36581
500	12929.17862
501	12912.19613
502	12889.5705
503	12862.61279
504	12846.88489
505	12834.61127
506	12827.11536
507	12812.20974
508	12796.68417
509	12775.78709
510	12768.47757
511	12751.67474
512	12737.71811
513	12731.88429
514	12718.03914
515	12707.78162
516	12697.4201
517	12678.7936
518	12673.29199
519	12649.7595
520	12638.32882
521	12614.85104
522	12599.98696
523	12582.69396
524	12579.48831
525	12573.88817
526	12555.87811
527	12550.32215
528	12543.92347
529	12539.20446
530	12526.61059
531	12506.55842
532	12490.38861
533	12474.75655
534	12461.11246
535	12453.65372
536	12432.1675
537	12431.01144
538	12406.42305
539	12398.48962
540	12382.56158
541	12366.3967
542	12357.00392
543	12355.6383
544	12338.34623
545	12321.77263
546	12320.05019
547	12301.3484
548	12291.51618
549	12290.42377
550	12280.53143
551	12255.77565
552	12246.76538
553	12241.3808
554	12235.07083
555	12229.52048
556	12221.05699
557	12216.13712
558	12214.48418
559	12213.42129
560	12208.55948
561	12176.9294
562	12175.63542
563	12168.62727
564	12155.79437
565	12151.31846
566	12147.33485
567	12134.4782
568	12130.40099
569	12103.75949
570	12083.27448
571	12070.75622
572	12053.47151
573	12040.40026
574	12017.34264
575	12016.16446
576	11996.35845
577	11989.38445
578	11970.37085
579	11969.1948
580	11960.10991
581	11952.58744
582	11938.30192
583	11934.14362
584	11922.87237
585	11920.44153
586	11919.19021
587	11914.85532
588	11912.01064
589	11904.90137
590	11892.29227
591	11883.0324
592	11872.28079
593	11863.06188
594	11847.21559
595	11837.33947
596	11831.60005
597	11822.35911
598	11803.31698
599	11784.76097
600	11765.42787
601	11752.3394
602	11751.01991
603	11732.88245
604	11731.96732
605	11721.39237
606	11702.89672
607	11687.9502
608	11667.97628
609	11657.7171
610	11656.57917
611	11647.61591
612	11637.20394
613	11621.17277
614	11614.672
615	11606.40606
616	11604.85295
617	11593.87027
618	11593.00323
619	11577.23762
620	11558.98555
621	11549.3776
622	11534.40451
623	11529.3187
624	11515.94607
625	11499.85025
626	11488.98856
627	11475.23272
628	11473.53886
629	11461.65987
630	11456.60268
631	11442.08999
632	11427.23774
633	11417.92726
634	11415.12913
635	11405.29445
636	11400.93739
637	11399.90088
638	11399.13716
639	11398.38136
640	11384.32116
641	11365.3216
642	11355.52843
643	11338.39163
644	11334.22686
645	11318.46413
646	11304.81704
647	11284.62292
648	11271.0165
649	11257.38581
650	11250.73785
651	11235.25653
652	11234.18503
653	11226.92498
654	11215.476
655	11214.87384
656	11214.12394
657	11208.18693
658	11197.96597
659	11181.9797
660	11174.98639
661	11169.05247
662	11159.18172
663	11148.3038
664	11147.52335
665	11134.43207
666	11130.30679
667	11123.29262
668	11109.57667
669	11104.45546
670	11095.17574
671	11083.89782
672	11077.87841
673	11071.20005
674	11064.78936
675	11060.51018
676	11050.3271
677	11044.91224
678	11030.74441
679	11013.76141
680	11001.69668
681	10983.86727
682	10977.08499
683	10958.91635
684	10949.13085
685	10934.34485
686	10922.31052
687	10914.75915
688	10914.08473
689	10898.835
690	10889.34282
691	10884.95776
692	10877.95696
693	10863.27815
694	10857.29072
695	10842.53205
696	10830.18468
697	10824.86108
698	10813.48412
699	10804.5852
700	10800.02846
701	10794.74488
702	10782.02215
703	10767.61664
704	10751.53727
705	10750.70238
706	10742.00767
707	10735.56194
708	10734.78612
709	10726.40199
710	10709.403
711	10693.05014
712	10677.55404
713	10676.70543
714	10672.25457
715	10660.47524
716	10646.81771
717	10635.02819
718	10621.11054
719	10612.30419
720	10597.82221
721	10585.38277
722	10583.81455
723	10572.65431
724	10556.36183
725	10551.62042
726	10544.80811
727	10530.17162
728	10523.62668
729	10510.60168
730	10501.83656
731	10489.84483
732	10482.88633
733	10469.4787
734	10458.13187
735	10455.61837
736	10443.1885
737	10437.49816
738	10429.62927
739	10410.78585
740	10396.26712
741	10390.76586
742	10389.77196
743	10377.36127
744	10365.05782
745	10359.21114
746	10352.4193
747	10336.27787
748	10324.0446
749	10309.12897
750	10300.65272
751	10298.87997
752	10283.17008
753	10267.91083
754	10252.92647
755	10238.96391
756	10227.80957
757	10212.61228
758	10206.23936
759	10195.47988
760	10187.65727
761	10177.47028
762	10167.12056
763	10156.56779
764	10143.46861
765	10138.81514
766	10127.92886
767	10117.4614
768	10101.64255
769	10088.53075
770	10082.48745
771	10070.12091
772	10065.45854
773	10060.65928
774	10047.38135
775	10041.54324
776	10028.78894
777	10025.01176
778	10017.01245
779	10009.39286
780	10006.45258
781	9994.97781
782	9983.306613
783	9973.043196
784	9966.184027
785	9961.198428
786	9951.548373
787	9937.800767
788	9929.014436
789	9918.296666
790	9917.307751
791	9908.762744
792	9894.311434
793	9890.949207
794	9877.648532
795	9869.853029
796	9859.124658
797	9858.423073
798	9844.356986
799	9836.611199
800	9825.801538
801	9823.679551
802	9818.760509
803	9810.028535
804	9798.741171
805	9787.694224
806	9777.2683
807	9765.169358
808	9750.32129
809	9737.796616
810	9725.071462
811	9720.841492
812	9711.658522
813	9701.724708
814	9697.472797
815	9690.399406
816	9681.440421
817	9674.145752
818	9666.391643
819	9657.224667
820	9647.884876
821	9643.296766
822	9632.432998
823	9627.647136
824	9618.560008
825	9613.523424
826	9595.939423
827	9588.288643
828	9576.157652
829	9572.493047
830	9563.465623
831	9553.041104
832	9544.669679
833	9537.851726
834	9524.186649
835	9514.242286
836	9509.968203
837	9507.023285
838	9504.059018
839	9499.961547
840	9486.082194
841	9476.987847
842	9460.778264
843	9453.45526
844	9451.099586
845	9449.510578
846	9447.225237
847	9442.25654
848	9429.655762
849	9426.432307
850	9417.047385
851	9406.027767
852	9394.855719
853	9382.97703
854	9378.980963
855	9368.15245
856	9367.687728
857	9360.228991
858	9343.287042
859	9331.524162
860	9319.431922
861	9310.584706
862	9303.220587
863	9291.538934
864	9282.7415
865	9273.687928
866	9270.216801
867	9261.997945
868	9253.804709
869	9242.359494
870	9237.49193
871	9231.321535
872	9228.586028
873	9216.941264
874	9208.821023
875	9200.264808
876	9188.139207
877	9178.735042
878	9169.755716
879	9159.067978
880	9153.427594
881	9145.380107
882	9132.787712
883	9128.347186
884	9118.01657
885	9111.662339
886	9109.175953
887	9100.427798
888	9096.876168
889	9086.007156
890	9080.014985
891	9072.453351
892	9066.150652
893	9057.782177
894	9049.960621
895	9038.191668
896	9035.048001
897	9029.157869
898	9023.145521
899	9016.390115
900	9006.440084
901	8997.644459
902	8989.476011
903	8981.261524
904	8970.059642
905	8959.627517
906	8947.651634
907	8934.555439
908	8924.876235
909	8914.116186
910	8911.923624
911	8898.134536
912	8885.58989
913	8878.202169
914	8876.714628
915	8867.676837
916	8863.485252
917	8851.318241
918	8837.261933
919	8830.640922
920	8825.5063
921	8820.18763
922	8810.881573
923	8800.737404
924	8787.347317
925	8778.100601
926	8765.267379
927	8759.674183
928	8752.548636
929	8751.469625
930	8742.563209
931	8730.93393
932	8722.936849
933	8716.405361
934	8711.237945
935	8703.096319
936	8693.696843
937	8686.612527
938	8676.584796
939	8666.519169
940	8664.630428
941	8653.501772
942	8650.352534
943	8642.974867
944	8635.149915
945	8630.731156
946	8620.184624
947	8618.639667
948	8616.852271
949	8610.125039
950	8605.421886
951	8602.595922
952	8597.303542
953	8592.289704
954	8579.571879
955	8575.939567
956	8570.184201
957	8563.982506
958	8554.507445
959	8545.940349
960	8536.440203
961	8525.153611
962	8520.765883
963	8514.771694
964	8509.262046
965	8501.684736
966	8498.820027
967	8488.94448
968	8483.07164
969	8476.562539
970	8473.28616
971	8467.918397
972	8465.232012
973	8457.796965
974	8446.376728
975	8436.760279
976	8431.316445
977	8428.034731
978	8418.710403
979	8417.021274
980	8416.154367
981	8408.147617
982	8397.234335
983	8392.622539
984	8385.086274
985	8379.325541
986	8372.229418
987	8365.105238
988	8356.832197
989	8350.228716
990	8342.008105
991	8336.949453
992	8329.309846
993	8323.764625
994	8314.017781
995	8310.262815
996	8304.539945
997	8303.275551
998	8297.662637
999	8294.000142
1000	8290.633558
1001	8289.594029
1002	8282.13659
1003	8269.502125
1004	8268.654079
1005	8254.919235
1006	8246.425568
1007	8246.051052
1008	8241.766148
1009	8239.237967
1010	8235.68352
1011	8226.146616
1012	8221.156908
1013	8213.103505
1014	8204.888281
1015	8201.560273
1016	8199.773142
1017	8192.163413
1018	8187.635473
1019	8180.09652
1020	8176.702633
1021	8169.667179
1022	8155.421987
1023	8146.380571
1024	8137.411871
1025	8125.412889
1026	8122.693933
1027	8115.05991
1028	8110.400234
1029	8109.606859
1030	8098.456105
1031	8090.266
1032	8085.124153
1033	8074.176567
1034	8066.06004
1035	8056.856581
1036	8056.455414
1037	8052.280253
1038	8047.570298
1039	8039.950662
1040	8032.916815
1041	8023.450846
1042	8021.466158
1043	8020.572854
1044	8013.18319
1045	8004.716442
1046	7999.736799
1047	7993.396345
1048	7986.907197
1049	7978.340866
1050	7968.592907
1051	7963.057003
1052	7955.948176
1053	7955.052305
1054	7951.363416
1055	7950.038409
1056	7945.291378
1057	7938.743588
1058	7925.329639
1059	7919.848123
1060	7911.044828
1061	7904.346825
1062	7896.902885
1063	7885.076355
1064	7874.743027
1065	7872.567049
1066	7865.574159
1067	7853.998327
1068	7848.287896
1069	7840.920603
1070	7833.886118
1071	7829.612094
1072	7821.464677
1073	7812.63047
1074	7804.328182
1075	7798.25395
1076	7790.303956
1077	7779.828668
1078	7774.365389
1079	7768.691283
1080	7765.792156
1081	7757.813444
1082	7748.845779
1083	7743.421376
1084	7736.723259
1085	7728.77381
1086	7722.749304
1087	7714.935646
1088	7706.580347
1089	7699.68633
1090	7698.566358
1091	7697.326955
1092	7693.563
1093	7686.075383
1094	7682.93718
1095	7680.718645
1096	7678.036662
1097	7669.469037
1098	7667.093616
1099	7663.244494
1100	7652.846656
1101	7647.115426
1102	7640.641764
1103	7634.500446
1104	7628.699365
1105	7623.819752
1106	7618.915394
1107	7612.714911
1108	7604.497436
1109	7595.806854
1110	7589.295461
1111	7582.863535
1112	7575.062555
1113	7574.095739
1114	7572.306287
1115	7565.247749
1116	7562.736521
1117	7559.43627
1118	7549.538632
1119	7542.711101
1120	7537.03936
1121	7528.145033
1122	7520.510886
1123	7512.692923
1124	7502.634025
1125	7498.337786
1126	7493.291449
1127	7484.682635
1128	7475.680181
1129	7467.850936
1130	7458.614789
1131	7451.143294
1132	7442.991061
1133	7432.48655
1134	7424.091627
1135	7416.733553
1136	7410.24067
1137	7404.790532
1138	7398.19911
1139	7396.471024
1140	7391.647465
1141	7384.435017
1142	7378.201223
1143	7372.213488
1144	7366.646617
1145	7359.398502
1146	7352.302093
1147	7350.516734
1148	7342.027498
1149	7337.975326
1150	7332.307459
1151	7326.233364
1152	7318.954707
1153	7313.888726
1154	7305.095871
1155	7303.580002
1156	7297.20641
1157	7296.265085
1158	7292.846214
1159	7284.629629
1160	7272.197952
1161	7270.295691
1162	7260.745238
1163	7255.126666
1164	7246.387394
1165	7238.09002
1166	7237.467884
1167	7232.528499
1168	7225.04436
1169	7221.733698
1170	7218.132612
1171	7211.587846
1172	7210.769841
1173	7203.531119
1174	7200.928623
1175	7193.082441
1176	7183.122503
1177	7180.121753
1178	7171.930867
1179	7166.804126
1180	7161.927936
1181	7153.140521
1182	7147.473425
1183	7138.952714
1184	7134.406308
1185	7128.06237
1186	7122.127416
1187	7117.929288
1188	7113.213694
1189	7109.853031
1190	7103.428555
1191	7090.202631
1192	7085.910421
1193	7084.504296
1194	7078.153457
1195	7071.736789
1196	7062.4445
1197	7053.050897
1198	7052.280669
1199	7046.759545
